"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/24/2018",46,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/25/2018",37,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/26/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/27/2018",48,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/28/2018",38,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/29/2018",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/30/2018",44,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"07/31/2018",32,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/01/2018",28,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/02/2018",25,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/03/2018",27,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/04/2018",35,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/05/2018",31,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/06/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/07/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/08/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/09/2018",41,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/10/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/11/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/12/2018",30,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/13/2018",36,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/14/2018",33,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
"08/15/2018",42,"Taylorsville Liledoun","Ozone","Alexander",35.9138000008966,-81.191
